Title: Marketing Team/Events/FUDCon Brno 2008/Logs
URL: https://wiki.sugarlabs.org/go/Marketing_Team/Events/FUDCon_Brno_2008/Logs
--------------------------------------------------------------------------------
Aug 28 18:02:27 <ChristophD>	hey everyone!
Aug 28 18:04:28 <marcopg_>	hi ChristophD
Aug 28 18:04:33 <marcopg_>	waiting for tomeu and erikos
Aug 28 18:04:40 <marcopg_>	they disappeared it seem
Aug 28 18:04:58 <ChristophD>	okay
Aug 28 18:06:42 <--	dirakx has quit (Read error: 60 (Operation timed out))
Aug 28 18:07:38 -->	dirakx (n=rafael@190.156.119.177) has joined #sugar-meeting
Aug 28 18:09:21 <tomeu>	back!
Aug 28 18:09:39 <marcopg_>	erikos: ?
Aug 28 18:09:46 <tomeu>	who else is missing?
Aug 28 18:09:48 <marcopg_>	he must be having 10th breakfast
Aug 28 18:09:54 <tomeu>	at least
Aug 28 18:10:21 <ChristophD>	greg is still missing, said he'd come
Aug 28 18:13:02 <tomeu>	ok, I can wait
Aug 28 18:13:13 <ChristophD>	I can wait until dinner ;)
Aug 28 18:13:49 -->	HoboPrimate (n=Eduardo_@a213-22-205-215.cpe.netcabo.pt) has joined #sugar-meeting
Aug 28 18:14:00 <erikos>	yup yup
Aug 28 18:14:16 <erikos>	sorry had to get a bit of fresh air
Aug 28 18:14:43 <ChristophD>	no worries
Aug 28 18:15:02 <ChristophD>	let's give greg 5 more minutes and then start, ok?
Aug 28 18:15:51 <erikos>	ok with me
Aug 28 18:19:31 <ChristophD>	okay, lets get started, shall we?
Aug 28 18:19:44 <erikos>	yup
Aug 28 18:20:14 <marcopg_>	ChristophD: what was the wiki page?
Aug 28 18:20:20 <ChristophD>	http://www.sugarlabs.org/go/Events/FUDCon_Brno_2008
Aug 28 18:20:32 <ChristophD>	first of all, anything else we might want to add to the wiki?
Aug 28 18:20:45 <ChristophD>	I havent had time to go through all our mails but think we did get the main points
Aug 28 18:21:10 <marcopg_>	so friday
Aug 28 18:21:20 <marcopg_>	activity startup...
Aug 28 18:21:42 <marcopg_>	tomeu: any idea how do we go about this?
Aug 28 18:21:51 <marcopg_>	tomeu: you have rl stuff we can work on?
Aug 28 18:22:03 <tomeu>	marcopg_: he has been opening tickets
Aug 28 18:22:11 <tomeu>	should have the performance keyword
Aug 28 18:22:28 <marcopg_>	tomeu: do you think that's something we can hack on at fudcon?
Aug 28 18:22:37 <marcopg_>	just wondering if we can involve people in it etc
Aug 28 18:22:38 <tomeu>	let me make a query
Aug 28 18:22:49 <marcopg_>	we won't have many XO I guess?
Aug 28 18:23:23 <ChristophD>	marcopg_, I guess each one of us will have one?
Aug 28 18:23:26 *	erikos can bring 3 xo's
Aug 28 18:23:33 <ChristophD>	erikos, great!
Aug 28 18:23:37 <tomeu>	http://dev.laptop.org/query?status=assigned&status=new&status=reopened&order=priority&col=id&col=summary&col=status&col=type&col=priority&col=milestone&col=component&keywords=~performance
Aug 28 18:23:44 <tomeu>	I can bring 2
Aug 28 18:23:52 <marcopg_>	ChristophD: yeah wondering about the fudcon people
Aug 28 18:24:12 <tomeu>	marcopg_: would be cool to find people which know about any of the involved areas better than us
Aug 28 18:24:28 <marcopg_>	yeah
Aug 28 18:24:31 <ChristophD>	marcopg_, I'm sure some fedora folks also have XOs
Aug 28 18:24:44 <ChristophD>	question is how many
Aug 28 18:25:09 <marcopg_>	2+2+3
Aug 28 18:25:19 <marcopg_>	those are 7 already
Aug 28 18:25:31 <erikos>	bernie must have some as well
Aug 28 18:25:33 <marcopg_>	if there are another 7 between all
Aug 28 18:25:34 <marcopg_>	we should be good
Aug 28 18:26:06 <ChristophD>	plus as mentioned I hope to bring the classmate 2 running sugar
Aug 28 18:26:25 <ChristophD>	and I'm going to set up fc9 on a 4GB sd card too
Aug 28 18:26:31 <tomeu>	ChristophD: I guess we don't have any performance problems there? ;)
Aug 28 18:26:36 <marcopg_>	hehe
Aug 28 18:26:45 <ChristophD>	well said!
Aug 28 18:26:47 <ChristophD>	:)
Aug 28 18:27:22 <erikos>	Sugar on Fedora will be important i guess
Aug 28 18:27:28 <ChristophD>	erikos, yep
Aug 28 18:27:39 <erikos>	would be nice to have this the leading distribution after the weekend
Aug 28 18:27:46 <erikos>	i mean best integrated one
Aug 28 18:27:48 <marcopg_>	discussions about fedora/sugar sounds good...
Aug 28 18:27:57 <marcopg_>	I wonder if we can get any actual work done there
Aug 28 18:28:03 <marcopg_>	i.e. start pusing packages etc
Aug 28 18:28:19 <ChristophD>	marcopg_, I think it's mostly going to be talking to people
Aug 28 18:28:47 <ChristophD>	we'll just have to play it like it 1783 and we're spanish missionaries in south america ;)
Aug 28 18:29:06 <marcopg_>	hehehe
Aug 28 18:29:47 <marcopg_>	first day looks good to me
Aug 28 18:29:50 <marcopg_>	tomeu: erikos?
Aug 28 18:29:59 <erikos>	marcopg_, what?
Aug 28 18:30:11 <marcopg_>	does it sound good?;)
Aug 28 18:30:32 <marcopg_>	or what can we improve
